State,Year,Quarter,Pincode,Registered_users
arunachal-pradesh,2022,2,792001,13915
arunachal-pradesh,2022,2,790104,12565
arunachal-pradesh,2022,2,792110,12124
arunachal-pradesh,2022,2,791109,10908
arunachal-pradesh,2022,3,791110,39026
arunachal-pradesh,2022,3,791111,34393
arunachal-pradesh,2022,3,791113,24830
arunachal-pradesh,2022,3,791102,24093
arunachal-pradesh,2022,3,791001,18476
arunachal-pradesh,2022,3,792103,18186
arunachal-pradesh,2022,3,792001,14676
arunachal-pradesh,2022,3,790104,13227
arunachal-pradesh,2022,3,792110,12755
arunachal-pradesh,2022,3,791109,11498
arunachal-pradesh,2022,4,791110,40977
arunachal-pradesh,2022,4,791111,36205
arunachal-pradesh,2022,4,791113,26077
arunachal-pradesh,2022,4,791102,25161
arunachal-pradesh,2022,4,791001,19310
arunachal-pradesh,2022,4,792103,19033
arunachal-pradesh,2022,4,792001,15408
arunachal-pradesh,2022,4,790104,13837
arunachal-pradesh,2022,4,792110,13271
arunachal-pradesh,2022,4,791109,12089
arunachal-pradesh,2023,1,791110,42898
arunachal-pradesh,2023,1,791111,37844
arunachal-pradesh,2023,1,791113,27294
arunachal-pradesh,2023,1,791102,26359
arunachal-pradesh,2023,1,791001,20180
arunachal-pradesh,2023,1,792103,19898
arunachal-pradesh,2023,1,792001,16114
arunachal-pradesh,2023,1,790104,14456
arunachal-pradesh,2023,1,792110,13901
arunachal-pradesh,2023,1,791109,12653
arunachal-pradesh,2023,2,791110,44631
arunachal-pradesh,2023,2,791111,39368
arunachal-pradesh,2023,2,791113,28413
arunachal-pradesh,2023,2,791102,27575
arunachal-pradesh,2023,2,791001,21123
arunachal-pradesh,2023,2,792103,20822
arunachal-pradesh,2023,2,792001,16857
arunachal-pradesh,2023,2,790104,15049
arunachal-pradesh,2023,2,792110,14532
arunachal-pradesh,2023,2,791109,13123
arunachal-pradesh,2023,3,791110,46438
arunachal-pradesh,2023,3,791111,40993
arunachal-pradesh,2023,3,791113,29580
arunachal-pradesh,2023,3,791102,28825
arunachal-pradesh,2023,3,791001,22012
arunachal-pradesh,2023,3,792103,21807
arunachal-pradesh,2023,3,792001,17609
arunachal-pradesh,2023,3,790104,15682
arunachal-pradesh,2023,3,792110,15168
arunachal-pradesh,2023,3,791120,13685
arunachal-pradesh,2023,4,791110,48172
arunachal-pradesh,2023,4,791111,42397
arunachal-pradesh,2023,4,791113,30667
arunachal-pradesh,2023,4,791102,29977
arunachal-pradesh,2023,4,791001,22907
arunachal-pradesh,2023,4,792103,22670
arunachal-pradesh,2023,4,792001,18303
arunachal-pradesh,2023,4,790104,16249
arunachal-pradesh,2023,4,792110,15829
arunachal-pradesh,2023,4,791120,14311
assam,2021,1,781032,46783
assam,2021,1,781022,37652
assam,2021,1,781001,34483
assam,2021,1,781038,30260
assam,2021,1,783380,29414
assam,2021,1,781011,28064
assam,2021,1,785001,27259
assam,2021,1,786001,26762
assam,2021,1,781028,24813
assam,2021,1,782435,24658
assam,2021,2,781032,49999
assam,2021,2,781022,40254
assam,2021,2,781001,36847
assam,2021,2,781038,32353
assam,2021,2,783380,31551
assam,2021,2,781011,30045
assam,2021,2,785001,29194
assam,2021,2,786001,28664
assam,2021,2,781028,26557
assam,2021,2,782435,26455
assam,2021,3,781032,53594
assam,2021,3,781022,43191
assam,2021,3,781001,39514
assam,2021,3,781038,34724
assam,2021,3,783380,34031
assam,2021,3,781011,32293
assam,2021,3,785001,31327
assam,2021,3,786001,30785
assam,2021,3,782435,28639
assam,2021,3,781028,28555
assam,2021,4,781032,57249
assam,2021,4,781022,46108
assam,2021,4,781001,42225
assam,2021,4,781038,37135
assam,2021,4,783380,36481
assam,2021,4,781011,34495
assam,2021,4,785001,33508
assam,2021,4,786001,32892
assam,2021,4,782435,30729
assam,2021,4,781028,30534
assam,2022,1,781032,60632
assam,2022,1,781022,48859
assam,2022,1,781001,44765
assam,2022,1,781038,39366
assam,2022,1,783380,38840
assam,2022,1,781011,36583
assam,2022,1,785001,35517
assam,2022,1,786001,34879
assam,2022,1,782435,32753
assam,2022,1,781028,32414
assam,2022,2,781032,63866
assam,2022,2,781022,51543
assam,2022,2,781001,47222
assam,2022,2,781038,41519
assam,2022,2,783380,41067
assam,2022,2,781011,38612
assam,2022,2,785001,37438
assam,2022,2,786001,36760
assam,2022,2,782435,34642
assam,2022,2,781028,34231
assam,2022,3,781032,67280
assam,2022,3,781022,54277
assam,2022,3,781001,49784
assam,2022,3,781038,43745
assam,2022,3,783380,43396
assam,2022,3,781011,40762
assam,2022,3,785001,39413
assam,2022,3,786001,38716
assam,2022,3,782435,36615
assam,2022,3,781028,36089
assam,2022,4,781032,70664
assam,2022,4,781022,57039
assam,2022,4,781001,52292
assam,2022,4,781038,45987
assam,2022,4,783380,45548
assam,2022,4,781011,42885
assam,2022,4,785001,41419
assam,2022,4,786001,40689
assam,2022,4,782435,38441
assam,2022,4,781028,37934
assam,2023,1,781032,73878
assam,2023,1,781022,59721
assam,2023,1,781001,54745
assam,2023,1,781038,48134
assam,2023,1,783380,47759
assam,2023,1,781011,44810
assam,2023,1,785001,43324
assam,2023,1,786001,42577
assam,2023,1,782435,40288
assam,2023,1,781028,39737
assam,2023,2,781032,76617
assam,2023,2,781022,62035
assam,2023,2,781001,56858
assam,2023,2,781038,50048
assam,2023,2,783380,49755
assam,2023,2,781011,46533
assam,2023,2,785001,45031
assam,2023,2,786001,44226
assam,2023,2,782435,42067
assam,2023,2,781028,41323
assam,2023,3,781032,79587
assam,2023,3,781022,64409
assam,2023,3,781001,59036
assam,2023,3,781038,51966
assam,2023,3,783380,51854
assam,2023,3,781011,48416
assam,2023,3,785001,46869
assam,2023,3,786001,46000
assam,2023,3,782435,43920
assam,2023,3,781028,43026
assam,2023,4,781032,82438
assam,2023,4,781022,66776
assam,2023,4,781001,61117
assam,2023,4,783380,53847
assam,2023,4,781038,53768
assam,2023,4,781011,50128
assam,2023,4,785001,48543
assam,2023,4,786001,47682
assam,2023,4,782435,45621
assam,2023,4,781028,44524
bihar,2021,1,800001,291064
bihar,2021,1,800006,188807
bihar,2021,1,800020,176118
bihar,2021,1,845401,151249
bihar,2021,1,845438,124418
bihar,2021,1,823001,106623
bihar,2021,1,842001,96473
bihar,2021,1,846004,92791
bihar,2021,1,801503,91718
bihar,2021,1,802301,91053
bihar,2021,2,800001,310396
bihar,2021,2,800006,201509
bihar,2021,2,800020,187797
bihar,2021,2,845401,162194
bihar,2021,2,845438,133423
bihar,2021,2,823001,113959
bihar,2021,2,842001,103177
bihar,2021,2,846004,99223
bihar,2021,2,801503,98037
bihar,2021,2,802301,97433
bihar,2021,3,800001,331994
bihar,2021,3,800006,215907
bihar,2021,3,800020,200899
bihar,2021,3,845401,174765
bihar,2021,3,845438,143642
bihar,2021,3,823001,122153
bihar,2021,3,842001,110719
bihar,2021,3,846004,106541
bihar,2021,3,801503,105096
bihar,2021,3,802301,104690
bihar,2021,4,800001,354049
bihar,2021,4,800006,230673
bihar,2021,4,800020,214343
bihar,2021,4,845401,187426
bihar,2021,4,845438,154094
bihar,2021,4,823001,130535
bihar,2021,4,842001,118411
bihar,2021,4,846004,113937
bihar,2021,4,801503,112216
bihar,2021,4,802301,112066
bihar,2022,1,800001,374585
bihar,2022,1,800006,244496
bihar,2022,1,800020,226982
bihar,2022,1,845401,199667
bihar,2022,1,845438,164043
bihar,2022,1,823001,138345
bihar,2022,1,842001,125613
bihar,2022,1,846004,120989
bihar,2022,1,802301,119021
bihar,2022,1,801503,118829
bihar,2022,2,800001,394289
bihar,2022,2,800006,257919
bihar,2022,2,800020,239192
bihar,2022,2,845401,211280
bihar,2022,2,845438,173688
bihar,2022,2,823001,145953
bihar,2022,2,842001,132578
bihar,2022,2,846004,127805
bihar,2022,2,802301,125702
bihar,2022,2,801503,125223
bihar,2022,3,800001,414926
bihar,2022,3,800006,272017
bihar,2022,3,800020,251896
bihar,2022,3,845401,223461
bihar,2022,3,845438,183758
bihar,2022,3,823001,153810
bihar,2022,3,842001,139844
bihar,2022,3,846004,134888
bihar,2022,3,802301,132748
bihar,2022,3,801503,131911
bihar,2022,4,800001,435858
bihar,2022,4,800006,286403
bihar,2022,4,800020,264853
bihar,2022,4,845401,235479
bihar,2022,4,845438,193467
bihar,2022,4,823001,161778
bihar,2022,4,842001,147230
bihar,2022,4,846004,142051
bihar,2022,4,802301,139772
bihar,2022,4,801503,138639
bihar,2023,1,800001,455854
bihar,2023,1,800006,300230
bihar,2023,1,800020,277169
bihar,2023,1,845401,246901
bihar,2023,1,845438,203029
bihar,2023,1,823001,169449
bihar,2023,1,842001,154271
bihar,2023,1,846004,148858
bihar,2023,1,802301,146579
bihar,2023,1,801503,144944
bihar,2023,2,800001,472016
bihar,2023,2,800006,311558
bihar,2023,2,800020,287226
bihar,2023,2,845401,256921
bihar,2023,2,845438,211285
bihar,2023,2,823001,175779
bihar,2023,2,842001,160164
bihar,2023,2,846004,154656
bihar,2023,2,802301,152195
bihar,2023,2,801503,150388
bihar,2023,3,800001,489967
bihar,2023,3,800006,323960
bihar,2023,3,800020,298213
bihar,2023,3,845401,267457
bihar,2023,3,845438,220063
bihar,2023,3,823001,182756
bihar,2023,3,842001,166557
bihar,2023,3,846004,160667
bihar,2023,3,802301,158488
bihar,2023,3,801503,156227
bihar,2023,4,800001,505940
bihar,2023,4,800006,335209
bihar,2023,4,800020,308191
bihar,2023,4,845401,276952
bihar,2023,4,845438,227990
bihar,2023,4,823001,188992
bihar,2023,4,842001,172397
bihar,2023,4,846004,166478
bihar,2023,4,802301,164095
bihar,2023,4,801503,161538
chandigarh,2021,1,160101,59366
chandigarh,2021,1,160002,51384
chandigarh,2021,1,160036,44518
chandigarh,2021,1,160047,42473
chandigarh,2021,1,160022,32441
chandigarh,2021,1,160014,29983
chandigarh,2021,1,160015,15642
chandigarh,2021,1,160030,15357
chandigarh,2021,1,160011,14949
chandigarh,2021,1,160019,14773
chandigarh,2021,2,160101,63492
chandigarh,2021,2,160002,54973
chandigarh,2021,2,160036,47535
chandigarh,2021,2,160047,45337
chandigarh,2021,2,160022,34573
chandigarh,2021,2,160014,32068
chandigarh,2021,2,160015,16673
chandigarh,2021,2,160030,16402
chandigarh,2021,2,160011,15925
chandigarh,2021,2,160019,15784
chandigarh,2021,3,160101,68033
chandigarh,2021,3,160002,58992
chandigarh,2021,3,160036,50920
chandigarh,2021,3,160047,48505
chandigarh,2021,3,160022,36978
chandigarh,2021,3,160014,34469
chandigarh,2021,3,160015,17785
chandigarh,2021,3,160030,17596
chandigarh,2021,3,160011,16987
chandigarh,2021,3,160019,16871
chandigarh,2021,4,160101,72637
chandigarh,2021,4,160002,62969
chandigarh,2021,4,160036,54223
chandigarh,2021,4,160047,51660
chandigarh,2021,4,160022,39282
chandigarh,2021,4,160014,36857
chandigarh,2021,4,160015,18899
chandigarh,2021,4,160030,18735
chandigarh,2021,4,160011,18061
chandigarh,2021,4,160019,17944
chandigarh,2022,1,160101,76960
chandigarh,2022,1,160002,66680
chandigarh,2022,1,160036,57265
chandigarh,2022,1,160047,54598
chandigarh,2022,1,160022,41445
chandigarh,2022,1,160014,39045
chandigarh,2022,1,160015,19940
chandigarh,2022,1,160030,19799
chandigarh,2022,1,160011,19085
chandigarh,2022,1,160019,18943
chandigarh,2022,2,160101,81030
chandigarh,2022,2,160002,70202
chandigarh,2022,2,160036,60207
chandigarh,2022,2,160047,57439
chandigarh,2022,2,160022,43479
chandigarh,2022,2,160014,41121
chandigarh,2022,2,160015,20944
chandigarh,2022,2,160030,20822
chandigarh,2022,2,160011,20043
chandigarh,2022,2,160019,19907
chandigarh,2022,3,160101,85368
chandigarh,2022,3,160002,73870
chandigarh,2022,3,160036,63231
chandigarh,2022,3,160047,60295
chandigarh,2022,3,160022,45609
chandigarh,2022,3,160014,43314
chandigarh,2022,3,160015,21953
chandigarh,2022,3,160030,21889
chandigarh,2022,3,160011,21003
chandigarh,2022,3,160019,20886
chandigarh,2022,4,160101,89650
chandigarh,2022,4,160002,77592
chandigarh,2022,4,160036,66174
chandigarh,2022,4,160047,63191
chandigarh,2022,4,160022,47654
chandigarh,2022,4,160014,45488
chandigarh,2022,4,160015,22959
chandigarh,2022,4,160030,22922
chandigarh,2022,4,160011,22005
chandigarh,2022,4,160019,21875
chandigarh,2023,1,160101,93655
chandigarh,2023,1,160002,81021
chandigarh,2023,1,160036,68977
chandigarh,2023,1,160047,65836
chandigarh,2023,1,160022,49605
chandigarh,2023,1,160014,47548
chandigarh,2023,1,160030,23910
chandigarh,2023,1,160015,23885
chandigarh,2023,1,160011,22909
chandigarh,2023,1,160019,22767
chandigarh,2023,2,160101,97213
chandigarh,2023,2,160002,84151
chandigarh,2023,2,160036,71473
chandigarh,2023,2,160047,68217
chandigarh,2023,2,160022,51332
chandigarh,2023,2,160014,49435
chandigarh,2023,2,160030,24769
chandigarh,2023,2,160015,24711
chandigarh,2023,2,160011,23730
chandigarh,2023,2,160019,23569
chandigarh,2023,3,160101,100857
chandigarh,2023,3,160002,87417
chandigarh,2023,3,160036,74155
chandigarh,2023,3,160047,70803
chandigarh,2023,3,160022,53191
chandigarh,2023,3,160014,51386
chandigarh,2023,3,160030,25743
chandigarh,2023,3,160015,25596
chandigarh,2023,3,160011,24560
chandigarh,2023,3,160025,24439
chandigarh,2023,4,160101,104350
chandigarh,2023,4,160002,90463
chandigarh,2023,4,160036,76529
chandigarh,2023,4,160047,73128
chandigarh,2023,4,160022,54824
chandigarh,2023,4,160014,53225
chandigarh,2023,4,160030,26584
chandigarh,2023,4,160015,26399
chandigarh,2023,4,160011,25331
chandigarh,2023,4,160025,25291
chhattisgarh,2021,1,492001,192280
chhattisgarh,2021,1,495001,154709
chhattisgarh,2021,1,497001,109875
chhattisgarh,2021,1,491001,93667
chhattisgarh,2021,1,491441,83189
chhattisgarh,2021,1,496005,76306
chhattisgarh,2021,1,490023,71859
chhattisgarh,2021,1,492009,71684
chhattisgarh,2021,1,495450,61932
chhattisgarh,2021,1,494001,61107
chhattisgarh,2021,2,492001,205399
chhattisgarh,2021,2,495001,165049
chhattisgarh,2021,2,497001,117695
chhattisgarh,2021,2,491001,99908
chhattisgarh,2021,2,491441,88935
chhattisgarh,2021,2,496005,81517
chhattisgarh,2021,2,492009,76560
chhattisgarh,2021,2,490023,76521
chhattisgarh,2021,2,495450,66184
chhattisgarh,2021,2,494001,65456
chhattisgarh,2021,3,492001,219691
chhattisgarh,2021,3,495001,176348
chhattisgarh,2021,3,497001,126575
chhattisgarh,2021,3,491001,106903
chhattisgarh,2021,3,491441,95381
chhattisgarh,2021,3,496005,87358
chhattisgarh,2021,3,492009,81992
